NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,대구광역시 수성구 범어동,2257,2257,0,범어센트럴푸르지오,84.955,202306,19,"95,000",104동,25,-,-,2019,상록로 15,-,중개거래,대구 수성구,23.10.13
2,대구광역시 수성구 매호동,979-4,979,4,한일유앤아이,119.1584,202306,19,"59,000",107,16,-,-,2006,고산로 162,-,중개거래,대구 수성구,23.12.21
3,대구광역시 수성구 중동,411-1,411,1,광명프레지던트,76.375,202306,19,"36,000",A,3,-,-,1980,수성로 165,-,중개거래,대구 수성구,23.06.28
4,대구광역시 수성구 중동,641,641,0,수성효성해링턴플레이스,84.6009,202306,19,"58,000",-,20,-,-,2020,희망로24길 24,20230731,중개거래,대구 수성구 대구 중구,-
5,대구광역시 수성구 중동,641,641,0,수성효성해링턴플레이스,84.6009,202306,19,"58,000",104동,20,-,-,2020,희망로24길 24,-,중개거래,대구 수성구 대구 중구,23.08.03
6,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,134.8251,202306,19,"146,000",106,23,-,-,2009,달구벌대로 2435,-,중개거래,대구 수성구,23.09.05
7,대구광역시 수성구 범어동,Jan-35,35,1,범어역우방유쉘,115.3747,202306,19,"80,000",범어역 우방유쉘,19,-,-,2009,동대구로 345,-,중개거래,대구 수성구,23.11.03
8,대구광역시 수성구 범어동,371,371,0,궁전맨션,131.16,202306,19,"108,000",3,15,-,-,1988,동대구로 274,-,중개거래,대구 수성구,23.09.07
9,대구광역시 수성구 범어동,2257,2257,0,범어센트럴푸르지오,84.993,202306,19,"91,000",105동,20,-,-,2019,상록로 15,-,중개거래,대구 수성구,23.08.14
10,대구광역시 수성구 신매동,162,162,0,시지반도유보라,84.9806,202306,19,"44,500",105,4,-,-,2012,욱수천로 87,-,중개거래,대구 수성구,23.08.10
11,대구광역시 수성구 신매동,579,579,0,천마타운,121.04,202306,19,"42,000",226,14,-,-,1994,신매로 71,-,중개거래,대구 수성구,23.11.17
12,대구광역시 수성구 범어동,2257,2257,0,범어센트럴푸르지오,84.955,202306,19,"88,900",102동,31,-,-,2019,상록로 15,-,중개거래,대구 수성구,23.07.06
13,대구광역시 수성구 범어동,175-1,175,1,브라운스톤범어,84.8538,202306,19,"65,000",브라운스톤 범어,10,-,-,2017,동대구로 354,-,중개거래,대구 수성구,23.11.13
14,대구광역시 수성구 만촌동,777,777,0,만촌우방타운2단지,59.73,202306,19,"30,000",202,13,-,-,1996,교학로11길 91,-,중개거래,대구 수성구,23.08.30
15,대구광역시 수성구 범어동,2240,2240,0,e편한세상범어,84.9557,202306,19,"56,200",103동,1,-,-,2015,들안로78길 45,-,중개거래,대구 북구 대구 수성구,23.09.22
16,대구광역시 수성구 범어동,2240,2240,0,e편한세상범어,84.791,202306,19,"62,500",108동,3,-,-,2015,들안로78길 45,-,중개거래,대구 수성구,23.06.21
17,대구광역시 수성구 범물동,1328,1328,0,서한화성타운,133.92,202306,19,"43,500",105,16,-,-,1992,지범로40길 11,-,중개거래,대구 수성구,23.12.05
18,대구광역시 수성구 노변동,742,742,0,수성알파시티청아람,84.9789,202306,18,"57,800",102동,2,-,-,2021,알파시티2로 96,-,중개거래,대구 수성구,23.08.31
19,대구광역시 수성구 황금동,365,365,0,캐슬골드파크5단지,84.97,202306,18,"48,700",1510,6,-,-,2006,청수로 214,-,중개거래,대구 수성구,23.08.24
20,대구광역시 수성구 지산동,1234-1,1234,1,지산2단지,54.12,202306,18,"16,800",201,9,-,-,1991,지산로 5,-,중개거래,대구 수성구 대구 중구,23.08.29
21,대구광역시 수성구 만촌동,1429-5,1429,5,메트로팔레스5,84.93,202306,18,"40,000",506,16,-,-,2003,동원로 100,-,중개거래,대구 수성구,23.07.14
22,대구광역시 수성구 상동,555,555,0,수성동일하이빌레이크시티,84.9967,202306,18,"53,500",105,14,-,-,2009,수성로 71,-,중개거래,대구 수성구,23.10.30
23,대구광역시 수성구 파동,486-1,486,1,화성파크뷰,84.9848,202306,18,"26,500",103,7,-,-,2004,파동로 19,-,중개거래,대구 수성구,24.02.29
24,대구광역시 수성구 황금동,365,365,0,캐슬골드파크1단지,116.82,202306,18,"66,000",1101,9,-,-,2006,청수로 213,-,중개거래,대구 수성구,23.09.08
25,대구광역시 수성구 노변동,742,742,0,수성알파시티청아람,59.9949,202306,18,"44,000",105동,22,-,-,2021,알파시티2로 96,-,중개거래,대구 수성구,23.07.31
26,대구광역시 수성구 중동,650,650,0,수성골드클래스더센텀,84.6686,202306,18,"58,000",101동,28,-,-,2021,수성로 185,-,중개거래,대구 수성구,23.10.06
27,대구광역시 수성구 범물동,670,670,0,우방미진하이츠,59.99,202306,18,"22,000",106,8,-,-,2000,지범로 290,-,중개거래,대구 수성구,23.09.27
28,대구광역시 수성구 범어동,175-1,175,1,브라운스톤범어,84.8538,202306,18,"69,000",브라운스톤 범어,22,-,-,2017,동대구로 354,-,중개거래,대구 수성구,23.08.25
29,대구광역시 수성구 신매동,263,263,0,태왕하이츠1,84.9798,202306,17,"35,000",101,13,-,-,2000,달구벌대로647길 16,-,직거래,-,23.09.08
30,대구광역시 수성구 수성동3가,57,57,0,수성3가롯데캐슬,136.2176,202306,17,"120,000",103,20,-,-,2008,명덕로 455,-,중개거래,대구 수성구,23.09.25
31,대구광역시 수성구 수성동3가,57,57,0,수성3가롯데캐슬,161.9811,202306,17,"132,500",103,19,-,-,2008,명덕로 455,-,중개거래,대구 수성구,23.12.15
32,대구광역시 수성구 두산동,105,105,0,대우트럼프월드수성,125,202306,17,"86,000",E,32,-,-,2007,동대구로 59,-,중개거래,대구 수성구,23.07.31
33,대구광역시 수성구 지산동,1200,1200,0,목련,49.23,202306,17,"20,000",10,4,-,-,1986,용학로42길 13,-,중개거래,대구 수성구,23.07.31
34,대구광역시 수성구 범어동,2277,2277,0,힐스테이트범어센트럴,84.96,202306,17,"79,000",103동,9,-,-,2022,상록로 80,-,중개거래,대구 수성구,23.07.25
35,대구광역시 수성구 범어동,2240,2240,0,e편한세상범어,84.791,202306,17,"66,500",107동,29,-,-,2015,들안로78길 45,-,중개거래,대구 수성구,23.08.02
36,대구광역시 수성구 범어동,2240,2240,0,e편한세상범어,84.791,202306,17,"67,000",108동,14,-,-,2015,들안로78길 45,-,중개거래,대구 수성구,24.01.10
37,대구광역시 수성구 범어동,Jun-88,88,6,범어청구하이츠,84.96,202306,17,"60,000",101,5,-,-,2000,청호로84안길 2,-,중개거래,대구 수성구,23.07.27
38,대구광역시 수성구 수성동4가,1115-16,1115,16,대림이편한세상,84.9327,202306,17,"47,000",108,16,-,-,2005,들안로73길 50-7,-,중개거래,대구 수성구,23.07.31
39,대구광역시 수성구 신매동,601,601,0,시지보성서한아파트,84.99,202306,17,"36,000",261,2,-,-,1995,신매로 21,-,중개거래,경북 경산시 대구 수성구,23.10.13
40,대구광역시 수성구 노변동,742,742,0,수성알파시티청아람,59.946,202306,17,"40,000",104동,24,-,-,2021,알파시티2로 96,-,중개거래,대구 수성구,23.08.24
41,대구광역시 수성구 노변동,353,353,0,수성월드메르디앙,84.8075,202306,17,"42,500",107,3,-,-,2007,노변로 55,-,중개거래,대구 수성구,23.08.22
42,대구광역시 수성구 매호동,1040,1040,0,매호동서타운,84.98,202306,17,"30,000",102,3,-,-,1995,천을로 180,-,중개거래,대구 수성구,23.08.18
43,대구광역시 수성구 매호동,979-4,979,4,한일유앤아이,84.9925,202306,17,"38,500",103,8,-,-,2006,고산로 162,-,중개거래,대구 수성구,23.09.18
44,대구광역시 수성구 상동,555,555,0,수성동일하이빌레이크시티,134.9125,202306,17,"83,000",109,1,-,-,2009,수성로 71,-,직거래,-,23.07.07
45,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,84.9978,202306,16,"46,500",101,5,-,-,2020,지범로48길 21,-,중개거래,대구 수성구,23.08.21
46,대구광역시 수성구 범어동,2272,2272,0,범어에일린의뜰,84.9603,202306,16,"76,000",104동,6,-,-,2021,청솔로14길 15,-,중개거래,대구 남구,23.06.28
47,대구광역시 수성구 범어동,551-7,551,7,범어네거리클래시아,46.2928,202306,16,"25,000",범어네거리 클래시아,9,-,-,2020,달구벌대로480길 9,-,중개거래,대구 수성구,23.07.03
48,대구광역시 수성구 만촌동,1172-1,1172,1,산장맨션,84.78,202306,16,"47,000",-,10,-,-,1990,교학로 111,20230626,중개거래,대구 수성구,-
49,대구광역시 수성구 만촌동,1172-1,1172,1,산장맨션,84.78,202306,16,"47,000",101,10,-,-,1990,교학로 111,-,중개거래,대구 수성구,23.08.28
50,대구광역시 수성구 만촌동,1356-3,1356,3,메트로팔레스1,134.98,202306,16,"57,000",103,13,-,-,2003,동원로 135,-,중개거래,대구 수성구,23.10.30
51,대구광역시 수성구 시지동,486,486,0,노변청구,59.99,202306,16,"27,500",105,9,-,-,1996,시지로 21,-,중개거래,대구 수성구,23.06.20
52,대구광역시 수성구 지산동,359-1,359,1,동서무학,84.92,202306,16,"19,000",101,17,-,-,1994,지산로14길 83,-,중개거래,대구 수성구,23.07.19
53,대구광역시 수성구 지산동,1270-1,1270,1,보성맨션,84.99,202306,16,"31,000",103,4,-,-,1991,지범로22길 10,-,중개거래,대구 수성구,23.07.21
54,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,84.9978,202306,16,"49,000",102,6,-,-,2020,지범로48길 21,-,중개거래,대구 수성구,23.10.24
55,대구광역시 수성구 황금동,986,986,0,힐스테이트황금엘포레,84.9899,202306,15,"60,000",102,21,-,-,2022,청솔로 16,-,직거래,-,24.02.05
56,대구광역시 수성구 범어동,Jun-88,88,6,범어청구하이츠,186,202306,15,"113,000",102,7,-,-,2000,청호로84안길 2,-,직거래,-,24.01.15
57,대구광역시 수성구 사월동,464,464,0,사월보성,59.97,202306,15,"20,050",105,12,-,-,1996,욱수천로 133,-,중개거래,대구 수성구,23.08.25
58,대구광역시 수성구 두산동,105,105,0,대우트럼프월드수성,114.4,202306,15,"89,000",C,38,-,-,2007,동대구로 59,-,중개거래,대구 수성구,23.07.28
59,대구광역시 수성구 두산동,113,113,0,수성SK리더스뷰,110.6078,202306,15,"98,000",106,17,-,-,2010,동대구로 95,-,중개거래,대구 수성구,23.07.28
60,대구광역시 수성구 범어동,2264,2264,0,힐스테이트범어,84.9218,202306,15,"138,000",105,17,-,-,2020,범어로18길 22,-,중개거래,대구 수성구,24.01.03
61,대구광역시 수성구 중동,641,641,0,수성효성해링턴플레이스,84.6009,202306,15,"55,500",102동,6,-,-,2020,희망로24길 24,-,중개거래,대구 동구 대구 수성구,23.08.14
62,대구광역시 수성구 시지동,591,591,0,수성알파시티동화아이위시,84.9478,202306,15,"72,500",102동,13,-,-,2019,알파시티2로 48,-,중개거래,대구 수성구,23.08.29
63,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,134.8251,202306,15,"153,000",106,10,-,-,2009,달구벌대로 2435,-,중개거래,대구 수성구,23.11.30
64,대구광역시 수성구 범어동,179,179,0,두산위브더제니스,143.7941,202306,15,"178,000",109,14,-,-,2009,달구벌대로 2435,-,중개거래,대구 수성구,23.11.30
65,대구광역시 수성구 범물동,1397,1397,0,수성하늘채르레브,77.6522,202306,15,"61,000",107,10,-,-,2020,지범로48길 21,-,중개거래,대구 수성구,23.06.26
66,대구광역시 수성구 중동,650,650,0,수성골드클래스더센텀,84.974,202306,15,"54,000",105동,7,-,-,2021,수성로 185,-,중개거래,대구 수성구,23.08.11
