NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,대구광역시 수성구 지산동,1766,1766,0,더샵수성라크에르,월세,84.9397,202506,18,"3,000",130,10,2024,지산로3길 33,202507~202707,신규,-,,,아파트
2,대구광역시 수성구 만촌동,775,775,0,만촌우방팔레스,월세,81.2832,202506,18,"12,000",85,3,2005,청수로 551,202507~202707,신규,-,,,아파트
3,대구광역시 수성구 범어동,2272,2272,0,범어에일린의뜰,전세,72.9621,202506,18,"36,000",0,1,2021,청솔로14길 15,202506~202606,갱신,-,"38,500",0,아파트
4,대구광역시 수성구 범어동,177-3,177,3,마크팰리스범어,월세,42.6363,202506,18,500,70,19,2017,동대구로 336,202506~202606,갱신,사용,500,70,아파트
5,대구광역시 수성구 지산동,1270,1270,0,청구타운,전세,84.9,202506,17,"16,000",0,2,1991,지산로 48,202507~202707,신규,-,,,아파트
6,대구광역시 수성구 시지동,349,349,0,청구전원타운,전세,84.98,202506,17,"18,000",0,1,1990,시지로 45,202507~202707,신규,-,,,아파트
7,대구광역시 수성구 중동,411-1,411,1,광명프레지던트,월세,76.41,202506,17,"11,000",23,11,1980,수성로 165,202507~202707,신규,-,,,아파트
8,대구광역시 수성구 사월동,464,464,0,사월보성,전세,84.99,202506,17,"19,000",0,6,1996,욱수천로 133,202507~202707,신규,-,,,아파트
9,대구광역시 수성구 매호동,1330,1330,0,누리타운,월세,55.32,202506,16,"1,000",50,11,1995,달구벌대로637길 21,202508~202708,신규,-,,,아파트
10,대구광역시 수성구 만촌동,1489,1489,0,만촌자이르네,전세,84.9918,202506,16,"50,700",0,12,2023,교학로19길 19,202507~202707,갱신,사용,"49,000",0,아파트
11,대구광역시 수성구 노변동,742,742,0,수성알파시티청아람,월세,59.946,202506,16,"2,000",90,17,2021,알파시티2로 96,202507~202706,신규,-,,,아파트
12,대구광역시 수성구 범물동,1328,1328,0,서한화성타운,전세,84.575,202506,16,"16,000",0,1,1992,지범로40길 11,202508~202708,신규,-,,,아파트
13,대구광역시 수성구 지산동,1275,1275,0,지산한라타운,전세,59.85,202506,16,"14,270",0,13,1991,지범로22길 9,202506~202606,갱신,-,"16,270",0,아파트
14,대구광역시 수성구 신매동,46,46,0,사월화성파크드림(2단지),전세,84.9999,202506,16,"28,000",0,12,2006,달구벌대로 3304-1,202507~202707,갱신,-,"30,000",0,아파트
15,대구광역시 수성구 신매동,595,595,0,두성,전세,59.37,202506,16,"11,600",0,5,1994,고산로 30,202507~202707,신규,-,,,아파트
16,대구광역시 수성구 두산동,999,999,0,수성레이크푸르지오,전세,109.5844,202506,16,"56,000",0,25,2022,청수로24길 91,202511~202711,신규,-,,,아파트
17,대구광역시 수성구 지산동,1273,1273,0,협화맨션,전세,84.76,202506,16,"20,000",0,9,1991,지범로22길 23,202507~202707,신규,-,,,아파트
18,대구광역시 수성구 수성동1가,112-7,112,7,수성그린타운,전세,109.9041,202506,15,"30,000",0,2,2005,달구벌대로458길 17,202507~202707,신규,-,,,아파트
19,대구광역시 수성구 시지동,600,600,0,고산역화성파크드림,전세,84.8338,202506,15,"28,000",0,2,2019,달구벌대로 3122,202507~202707,신규,-,,,아파트
20,대구광역시 수성구 범어동,2277,2277,0,힐스테이트범어센트럴,전세,84.91,202506,15,"36,000",0,8,2022,상록로 80,202508~202707,신규,-,,,아파트
21,대구광역시 수성구 만촌동,1489,1489,0,만촌자이르네,전세,77.6825,202506,15,"42,000",0,9,2023,교학로19길 19,202509~202709,갱신,사용,"40,000",0,아파트
22,대구광역시 수성구 사월동,645,645,0,시지한신휴플러스,월세,84.7139,202506,15,"2,000",91,10,2013,달구벌대로669길 50,202507~202707,신규,-,,,아파트
23,대구광역시 수성구 노변동,742,742,0,수성알파시티청아람,전세,59.9949,202506,15,"24,000",0,11,2021,알파시티2로 96,202506~202706,신규,-,,,아파트
24,대구광역시 수성구 노변동,742,742,0,수성알파시티청아람,전세,59.9949,202506,15,"24,000",0,11,2021,알파시티2로 96,202506~202706,신규,-,,,아파트
25,대구광역시 수성구 범어동,2272,2272,0,범어에일린의뜰,전세,84.9603,202506,14,"40,000",0,5,2021,청솔로14길 15,202507~202707,신규,-,,,아파트
26,대구광역시 수성구 만촌동,1032-1,1032,1,힐스테이트만촌역,월세,136.6868,202506,14,"10,000",275,25,2024,달구벌대로 2567,202509~202709,신규,-,,,아파트
27,대구광역시 수성구 파동,581-28,581,28,송원맨션,월세,84.99,202506,14,"1,000",75,6,1989,파동로 223,202508~202708,신규,-,,,아파트
28,대구광역시 수성구 범어동,2252,2252,0,범어라온프라이빗2차,전세,84.9728,202506,14,"49,000",0,8,2018,청호로 438,202507~202707,신규,-,,,아파트
29,대구광역시 수성구 수성동1가,272-11,272,11,우방한가람타운,전세,59.93,202506,14,"20,000",0,18,1995,명덕로 368,202508~202707,신규,-,,,아파트
30,대구광역시 수성구 황금동,272,272,0,신천지타운,전세,134.79,202506,14,"31,500",0,10,1991,청호로46길 16,202508~202708,신규,-,,,아파트
